Program/Component,Type of Funding/Service,Province,# of objects,# of Collections
Equipment Loan,Service,QC,,1
Scientific Service at CCI - Object Analysis and Examination,Service,QC,2,
Other Professional Service,Service,QC,,1
Scientific Service at CCI - Product and Material Evaluation,Service,QC,,1
Scientific Service at client site,Service,QC,3,
Scientific Service at CCI - Object Analysis and Examination,Service,QC,1,
Archaeology Treatment at CCI - Excavation,Service,SK,3,
Conservation Treatment at CCI,Service,YT,89,
Conservation Treatment at CCI,Service,YT,1,
Conservation Treatment at CCI,Service,YT,8,
Scientific Service at CCI - Object Analysis and Examination,Service,YT,1,
Scientific Service at CCI - Object Analysis and Examination,Service,YT,1,
